trial_id,attempt_idx,start,end,duration,wrist_RR,wrist_DET,wrist_LAM,wrist_L_MAX,wrist_n_points,wrist_emb_dim,wrist_emb_delay,env_RR,env_DET,env_LAM,env_L_MAX,env_n_points,env_emb_dim,env_emb_delay,pair_id,condition,target_word,clue_giver_id,n_attempts,guesser_id,guessed,guess_time,n_turntakes,is_last_attempt
108_208_18_1_20250114_162618_coffee_ground,1,1.07,5.07,4.0,0.079,0.5308,0.7557,1.1,120.0,8.0,6.0,0.0156,0.9346,0.9995,3.996,1000,8,29,108_208,ground,coffee,108,1,,False,,0,True
108_208_19_1_20250114_162700_cologne_ground,1,1.71,8.47,6.76,0.0857,0.6816,0.8183,1.4,203.0,8.0,11.0,0.0595,0.8639,0.9545,1.738,307,8,8,108_208,ground,cologne,108,3,208.0,False,,4,False
108_208_19_1_20250114_162700_cologne_ground,2,10.65,39.29,28.64,0.037,0.7681,0.8645,7.7333,836.0,8.0,11.0,0.0691,0.9338,0.9706,6.776,1301,8,8,108_208,ground,cologne,108,3,208.0,False,,4,False
108_208_19_1_20250114_162700_cologne_ground,3,,,,,,,,,,,0.6832,0.9133,0.9953,0.528,25,8,8,108_208,ground,cologne,108,3,208.0,False,,4,True
108_208_20_1_20250114_162723_bitter_ground,1,1.1,14.1,13.0,0.0805,0.4458,0.6671,0.2667,390.0,8.0,9.0,0.0599,0.9637,0.9881,3.036,1083,8,12,108_208,ground,bitter,108,2,208.0,True,19.23,2,False
108_208_20_1_20250114_162723_bitter_ground,2,16.1,19.1,3.0,0.0746,0.1556,0.5083,0.1667,90.0,8.0,9.0,0.1154,0.9409,0.9932,2.988,250,8,12,108_208,ground,bitter,108,2,208.0,True,19.23,2,True
108_208_21_1_20250114_162731_sugar_ground,1,0.85,5.29,4.44,0.07,0.0888,0.2147,0.3,133.0,8.0,3.0,0.0203,0.9483,0.9978,4.436,1110,8,30,108_208,ground,sugar,108,1,,False,,0,True
108_208_23_1_20250114_162817_tiger_ground,1,4.43,11.43,7.0,0.1033,0.5187,0.702,0.8667,210.0,8.0,12.0,0.0809,0.9583,0.9906,6.984,583,8,34,108_208,ground,tiger,208,2,108.0,True,18.72,3,False
108_208_23_1_20250114_162817_tiger_ground,2,13.43,15.43,2.0,0.0256,0.1957,0.3913,0.1,60.0,8.0,12.0,0.0266,0.6475,0.8893,0.828,166,8,34,108_208,ground,tiger,208,2,108.0,True,18.72,3,True
108_208_24_1_20250114_162831_exam_ground,1,0.75,4.75,4.0,0.0904,0.3702,0.6344,0.6,120.0,8.0,5.0,0.0493,0.95,0.996,3.992,500,8,19,108_208,ground,exam,208,2,108.0,True,10.11,2,False
108_208_24_1_20250114_162831_exam_ground,2,6.75,8.75,2.0,0.1572,0.4982,0.6696,0.2,60.0,8.0,5.0,0.135,0.9623,0.9982,1.992,250,8,19,108_208,ground,exam,208,2,108.0,True,10.11,2,True
108_208_26_1_20250114_162904_hamster_ground,1,1.3,5.8,4.5,0.0319,0.2788,0.5525,0.1333,135.0,8.0,9.0,0.1135,0.9713,0.9964,4.49,450,8,14,108_208,ground,hamster,208,1,108.0,True,16.52,1,True
108_208_27_1_20250114_162936_bacon_ground,1,3.82,5.82,2.0,0.1083,0.3744,0.6821,0.4333,60.0,8.0,4.0,0.246,0.9519,0.9951,1.984,125,8,16,108_208,ground,bacon,208,4,108.0,True,27.7,7,False
108_208_27_1_20250114_162936_bacon_ground,2,7.82,11.82,4.0,0.0213,0.2876,0.5261,0.3333,120.0,8.0,4.0,0.1218,0.9207,0.9806,3.984,250,8,16,108_208,ground,bacon,208,4,108.0,True,27.7,7,False
108_208_27_1_20250114_162936_bacon_ground,3,17.82,22.82,5.0,0.0162,0.033,0.1154,0.0667,150.0,8.0,4.0,0.0149,0.486,0.8398,0.576,313,8,16,108_208,ground,bacon,208,4,108.0,True,27.7,7,False
108_208_27_1_20250114_162936_bacon_ground,4,23.82,27.82,4.0,0.2661,0.8586,0.9426,0.9,120.0,8.0,4.0,0.1183,0.9032,0.9857,1.856,250,8,16,108_208,ground,bacon,208,4,108.0,True,27.7,7,True
108_208_28_1_20250114_162956_river_ground,1,2.61,11.31,8.7,0.1688,0.9281,0.9594,3.2333,261.0,8.0,12.0,0.1945,0.9931,0.9965,4.37,870,7,20,108_208,ground,river,208,1,108.0,True,3.25,0,True
108_208_29_1_20250114_163011_walnut_ground,1,1.62,5.57,3.95,0.0481,0.5404,0.8473,0.4667,119.0,8.0,9.0,0.2519,0.9826,0.9963,3.944,494,8,25,108_208,ground,walnut,208,1,108.0,True,6.64,0,True
108_208_30_1_20250114_163024_butter_ground,1,4.69,6.69,2.0,0.0811,0.3493,0.7021,0.1333,60.0,8.0,5.0,0.0072,0.5704,0.665,0.192,333,8,20,108_208,ground,butter,208,2,108.0,True,9.25,2,False
108_208_30_1_20250114_163024_butter_ground,2,7.69,8.69,1.0,0.96,0.9583,0.9954,0.9667,30.0,8.0,5.0,0.006,0.0,0.0,0.0,167,8,20,108_208,ground,butter,208,2,108.0,True,9.25,2,True
108_208_31_1_20250114_163033_leather_ground,1,2.03,6.03,4.0,0.1858,0.5889,0.7952,0.2,120.0,8.0,7.0,0.0028,0.4241,0.5625,0.33,666,8,19,108_208,ground,leather,208,1,108.0,True,5.76,0,True
108_208_32_1_20250114_163057_chlorine_ground,1,3.7,10.7,7.0,0.0653,0.6379,0.7946,1.2,210.0,8.0,10.0,0.0429,0.9385,0.9939,6.984,583,8,21,108_208,ground,chlorine,208,1,,False,,0,True
108_208_34_1_20250114_163148_movie_board,1,0.85,9.97,9.12,0.0613,0.8501,0.93,1.8,267.0,8.0,6.0,0.059,0.9853,0.9987,9.114,1520,7,31,108_208,board,movie,108,1,,False,,0,True
108_208_35_1_20250114_163156_pasta_board,1,0.91,5.91,5.0,0.0454,0.5323,0.729,0.9333,150.0,8.0,4.0,0.056,0.9842,0.9996,4.996,1250,8,36,108_208,board,pasta,108,1,,False,,0,True
108_208_36_1_20250114_163248_balloon_board,1,0.82,51.6,50.78,0.0659,0.7563,0.8662,7.3667,1423.0,8.0,15.0,0.0676,0.7971,0.904,9.152,1888,8,10,108_208,board,balloon,108,1,,False,,0,True
108_208_38_1_20250114_163310_birthday_board,1,0.66,9.66,9.0,0.0715,0.6261,0.8187,1.8,257.0,8.0,7.0,0.0566,0.9838,0.998,8.994,1500,8,20,108_208,board,birthday,108,1,,False,,0,True
108_208_39_1_20250114_163319_beauty_board,1,0.85,7.09,6.24,0.0487,0.6273,0.7701,0.8333,173.0,8.0,7.0,0.026,0.9612,0.9899,2.7,1040,8,15,108_208,board,beauty,108,1,,False,,0,True
